category,type,text,difficulty,points,answers (separated by |),correctAnswer
Y2K,Truth,"""ทาทา ยัง"" มีฉายาว่าอะไร?",easy,100,สาวน้อยมหัศจรรย์ | ราชินีแดนซ์ | เจ้าหญิง R&B | สาวมาดเซอร์,สาวน้อยมหัศจรรย์
Y2K,Truth,"ละคร ""เปาบุ้นจิ้น"" หน้าผากของเปาบุ้นจิ้นมีรูปอะไร?",easy,100,พระอาทิตย์ | พระจันทร์เสี้ยว | ดาว | หยินหยาง,พระจันทร์เสี้ยว
Y2K,Truth,"สูตรโกงเกม Contra ในตำนาน กดสูตรว่า ""ขึ้นๆ ลงๆ ซ้ายขวา ซ้ายขวา..."" แล้วตามด้วยปุ่มใด?",hard,300,A B Select Start | B A Select Start | A A B B Start | Select Start A B,B A Select Start
Y2K,Truth,"ภาพยนตร์ ""แฟนฉัน"" เพลงประกอบหลักที่พระเอกร้องจีบนางเอกคือเพลง?",medium,200,คอนเสิร์ตคนจน | รักครั้งแรก | ใจให้ไป | แฟนจ๋า,รักครั้งแรก
Y2K,Truth,"รายการ ""กระจกหกด้าน"" เพลงไตเติ้ลเป็นเสียงดนตรีเครื่องดนตรีชนิดใดชัดที่สุด?",hard,300,ขลุ่ย | ระนาด | ซอ | ปี่พาทย์,ระนาด
Y2K,Dare,"ท้าให้ทำ: เต้นท่า ""แคระแกร็น"" (เพลงป๋าเทพ) หรือท่าตลกยุคเก่า",medium,200,,
Y2K,Dare,ท้าให้ทำ: ทำเสียงโมเด็มต่ออินเทอร์เน็ตยุค 56k (ตื้ด...ตื่อ...ซ่า...),hard,300,,
Y2K,Dare,ท้าให้ทำ: โพสท่าถ่ายรูปสติกเกอร์ (Puri-kura) 3 ท่า ต่อเนื่อง,easy,100,,
Viral,Truth,"สัญลักษณ์ ""#"" เรียกว่าอะไร?",easy,100,Star | At | Hashtag | Slash,Hashtag
Viral,Truth,"เวลาซื้อของออนไลน์ พิมพ์ ""CF"" แปลว่าอะไร?",easy,100,Cancel Free | Confirm | Cash Free | Come Fast,Confirm
Viral,Truth,"คำศัพท์ ""F"" ในการไลฟ์ขายของ ย่อมาจากอะไร?",easy,100,Fake | Fast | For | F (= จอง/เอา),F (= จอง/เอา)
Viral,Truth,"""Lisa"" (Blackpink) เป็นคนจังหวัดอะไรโดยกำเนิด?",medium,200,กรุงเทพฯ | บุรีรัมย์ | เชียงใหม่ | ขอนแก่น,บุรีรัมย์
Viral,Truth,"ใครคือเจ้าของวลี ""เรื่องนี้ริวจะไม่ยุ่ง""?",medium,200,เจน ญาณทิพย์ | หมอปลา | ริว จิตสัมผัส | หมอช้าง,ริว จิตสัมผัส
Viral,Truth,"แอปพลิเคชันใดที่เน้น ""รูปภาพ"" เป็นหลักมากที่สุด?",easy,100,Twitter | Instagram | Clubhouse | LinkedIn,Instagram
Viral,Truth,"คำว่า ""ตัวมารดา"" มีความหมายใกล้เคียงกับคำว่าอะไร?",medium,200,ตัวแม่/ตัวมัม | ตัวปัญหา | ตัวตลก | ตัวอิจฉา,ตัวแม่/ตัวมัม
Viral,Dare,"ท้าให้ทำ: รีวิว ""อากาศ"" ในห้องนี้ให้น่าซื้อที่สุด ภายใน 30 วินาที",hard,300,,
Viral,Dare,"ท้าให้ทำ: ทำท่า ""สโลว์โมชั่น"" (Slow Motion) วิ่งหนีผี",medium,200,,
Viral,Dare,ท้าให้ทำ: พูดภาษาต่างดาว (มั่วๆ) ใส่เพื่อน 10 วินาที,easy,100,,
Food,Truth,"""หมูกระทะ"" เชื่อกันว่ามีต้นกำเนิดดัดแปลงมาจากเตาย่างของทหารประเทศใด?",medium,200,ไทย | ญี่ปุ่น | เกาหลี/มองโกล | เวียดนาม,เกาหลี/มองโกล
Food,Truth,ผัดกะเพราที่แท้จริง (Original) ควรใส่ผักอะไรบ้าง?,hard,300,ถั่วฝักยาว+ข้าวโพด | ใบกะเพรา+พริก+กระเทียม | หอมหัวใหญ่+แครอท | ใส่ทุกอย่างที่กล่าวมา,ใบกะเพรา+พริก+กระเทียม
Food,Truth,"แบรนด์ไก่ทอด ""Bonchon"" มาจากประเทศอะไร?",easy,100,อเมริกา | เกาหลีใต้ | ญี่ปุ่น | ไทย,เกาหลีใต้
Food,Truth,ชานมไข่มุก (Bubble Tea) มีต้นกำเนิดจากประเทศใด?,medium,200,ไทย | จีน | ไต้หวัน | ฮ่องกง,ไต้หวัน
Food,Truth,"ผลไม้ ""อะโวคาโด"" เป็นส่วนผสมหลักของซอสอะไร?",hard,300,มายองเนส | กัวคาโมเล่ (Guacamole) | ซัลซ่า | วาซาบิ,กัวคาโมเล่ (Guacamole)
Food,Truth,"รสชาติ ""หมาล่า"" มีจุดเด่นคือ?",easy,100,เปรี้ยวจี๊ด | หวานจัด | เผ็ดและชา | เค็มมัน,เผ็ดและชา
Food,Truth,"เมนูหวานยอดฮิตของร้าน ""After You"" คืออะไร?",medium,200,บิงซูสายไหม | ฮันนี่โทสต์ (Shibuya Honey Toast) | แพนเค้กเด้งดึ๋ง | เครปเย็น,ฮันนี่โทสต์ (Shibuya Honey Toast)
Food,Dare,"ท้าให้ทำ: ทำท่ากิน ""ส้มตำปูปลาร้าเผ็ดๆ"" แบบไม่มีน้ำกิน (ละครใบ้)",medium,200,,
Food,Dare,"ท้าให้ทำ: บรรยายรสชาติของ ""ก้อนอิฐ"" ให้น่ากิน",hard,300,,
Food,Dare,ท้าให้ทำ: ทำท่าปอกกล้วยเข้าปาก โดยห้ามใช้มือ,medium,200,,
Entertainment,Truth,"ค่ายหนัง ""GDH"" แต่เดิมเคยเป็นส่วนหนึ่งของค่ายใด?",medium,200,GTH | Sahamongkol | Five Star | M39,GTH
Entertainment,Truth,"เพลง ""คุกกี้เสี่ยงทาย"" (Koisuru Fortune Cookie) ท่าเต้นสำคัญคือท่าอะไร?",easy,100,ท่าไก่ย่าง | ท่าปั้นข้าวปั้น/โอนิกิริ | ท่าควบม้า | ท่านกบิน,ท่าปั้นข้าวปั้น/โอนิกิริ
Entertainment,Truth,ซีรีส์วาย (Y Series) คำว่า Y ย่อมาจากภาษาญี่ปุ่นคำว่า?,hard,300,Yuri | Yaoi | Young | Yellow,Yaoi
Entertainment,Truth,ใครคือ CEO ของ Workpoint Entertainment?,easy,100,วิทวัส สุนทรวิเนตร์ | ปัญญา นิรันดร์กุล | สรยุทธ สุทัศนะจินดา | ดู๋ สัญญา,ปัญญา นิรันดร์กุล
Entertainment,Truth,"ภาพยนตร์เรื่อง ""สัปเหร่อ"" เป็นจักรวาลเดียวกับหนังเรื่องใด?",medium,200,ไทบ้าน เดอะซีรีส์ | หอแต๋วแตก | พี่มาก..พระโขนง | 4 แพร่ง,ไทบ้าน เดอะซีรีส์
Entertainment,Truth,"""พี่จอง-คัลแลน"" เป็นคนประเทศอะไร?",easy,100,ญี่ปุ่น | จีน | เกาหลีใต้ | สิงคโปร์,เกาหลีใต้
Entertainment,Truth,"รายการ ""โหนกระแส"" พิธีกรคือใคร?",easy,100,กรรชัย กำเนิดพลอย | สรยุทธ สุทัศนะจินดา | ภาคภูมิ พันธุ์สถิตย์ | พุทธอภิวรรณ,กรรชัย กำเนิดพลอย
Entertainment,Dare,"ท้าให้ทำ: ทำท่าเป็น ""ก็อตซิลล่า"" บุกเมือง",easy,100,,
Entertainment,Dare,"ท้าให้ทำ: พูดภาษาไทยสำเนียง ""เกาหลี"" (อันนยองฮาเซโย...) 1 ประโยค",medium,200,,
Entertainment,Dare,ท้าให้ทำ: เต้นท่าฟรีสไตล์ เพลงลูกทุ่งสามช่า 20 วินาที,easy,100,,
Knowledge,Truth,แมงมุม มีขากี่ขา?,easy,100,6 ขา | 8 ขา | 10 ขา | 12 ขา,8 ขา
Knowledge,Truth,เมืองหลวงของประเทศญี่ปุ่นคือ?,easy,100,โอซาก้า | โตเกียว | เกียวโต | ฮอกไกโด,โตเกียว
Knowledge,Truth,ทวีปใดมีขนาดใหญ่ที่สุดในโลก?,medium,200,แอฟริกา | อเมริกาเหนือ | เอเชีย | ยุโรป,เอเชีย
Knowledge,Truth,จุดเยือกแข็งของน้ำคือกี่องศาเซลเซียส?,easy,100,0 องศา | 10 องศา | -1 องศา | 100 องศา,0 องศา
Knowledge,Truth,ธงชาติไทยมีทั้งหมดกี่สี (ไม่นับแถบ)?,easy,100,2 สี | 3 สี | 4 สี | 5 สี,3 สี
Knowledge,Truth,"ตัวย่อ ""AI"" ในวงการเทคโนโลยี ย่อมาจาก?",medium,200,Auto Internet | Artificial Intelligence | Advanced Info | Alien Invasion,Artificial Intelligence
Knowledge,Truth,สัตว์ชนิดใดวิ่งเร็วที่สุดในโลก (บนบก)?,medium,200,สิงโต | เสือชีตาห์ | ม้า | สุนัขเกรย์ฮาวด์,เสือชีตาห์
Knowledge,Dare,ท้าให้ทำ: ท่องสูตรคูณแม่ 2 ถอยหลัง (2x12 ถึง 2x1) ภายใน 10 วินาที,hard,300,,
Knowledge,Dare,ท้าให้ทำ: พยายามเลียข้อศอกตัวเอง (ให้เพื่อนดูว่าทำไม่ได้),easy,100,,
Knowledge,Dare,ท้าให้ทำ: หมุนตัว 5 รอบ แล้วเดินตรงๆ ให้ได้ 3 ก้าว,medium,200,,
